Location,subregion,Latitude,Longitude
Eau Claire,Barron,44.8113,-91.4985
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Belmont,Brown,42.7361,-90.3343
Appleton,Brown ,44.2619,-88.4154
Eau Claire,Buffalo,44.8113,-91.4985
Sparta,Buffalo,43.9441,-90.8129
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Belmont,Calumet,42.7361,-90.3343
Fond Dulac,Calumet,43.773,-88.4471
Eau Claire,Chippewa,44.8113,-91.4985
Eau Claire,Chippewa,44.8113,-91.4985
Eau Claire,Chippewa,44.8113,-91.4985
Eau Claire,Chippewa,44.8113,-91.4985
Eau Claire,CHippewa,44.8113,-91.4985
Eau Claire,CHippewa,44.8113,-91.4985
Eau Claire,Chippewa,44.8113,-91.4985
Eau Claire,Clark,44.8113,-91.4985
Eau Claire,Clark,44.8113,-91.4985
Eau Claire,Clark,44.8113,-91.4985
Wausau,Clark,44.9591,-89.6301
Wausau,Clark,44.9591,-89.6301
Wausau,Clark,44.9591,-89.6301
Wausau,"Clark, Marathon",44.9591,-89.6301
Wausau,"Clark, Marathon",44.9591,-89.6301
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia,43.2478,-89.3437
Deforest,Columbia ,43.2478,-89.3437
Sparta,Crawford,43.9441,-90.8129
Belmont,Dane,42.7361,-90.3343
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Deforest,Dane,43.2478,-89.3437
Janesville,Dane,42.6828,-89.0187
Janesville,Dane,42.6828,-89.0187
Belmont,Dane ,42.7361,-90.3343
Eau Claire,Dann,44.8113,-91.4985
Deforest,Danny,43.2478,-89.3437
Appleton,Dodge,44.2619,-88.4154
Deforest,Dodge,43.2478,-89.3437
Deforest,Dodge,43.2478,-89.3437
Deforest,Dodge,43.2478,-89.3437
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Fond Dulac,Dodge,43.773,-88.4471
Appleton,Door,44.2619,-88.4154
Appleton,Door,44.2619,-88.4154
Eau Claire,Dunn,44.8113,-91.4985
Eau Claire,Dunn,44.8113,-91.4985
Eau Claire,Dunn ,44.8113,-91.4985
Eau Claire,Dunn ,44.8113,-91.4985
Eau Claire,Dunn ,44.8113,-91.4985
Eau Claire,Eau Claire,44.8113,-91.4985
Eau Claire,Eau Claire,44.8113,-91.4985
Eau Claire,Eau Claire,44.8113,-91.4985
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Fond Dulac,Fond Du lac,43.773,-88.4471
Belmont,Gran,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Deforest,Grant,43.2478,-89.3437
Belmont,Green,42.7361,-90.3343
Janesville,Green,42.6828,-89.0187
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Belmont,Iowa,42.7361,-90.3343
Eau Claire,Jackson,44.8113,-91.4985
Deforest,Jefferson,43.2478,-89.3437
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Janesville,Jefferson,42.6828,-89.0187
Sparta,Juneau,43.9441,-90.8129
Appleton,Kewaunee,44.2619,-88.4154
Appleton,Kewnee,44.2619,-88.4154
Appleton,kewnee,44.2619,-88.4154
Sparta,La Crosse,43.9441,-90.8129
Sparta,La Crosse,43.9441,-90.8129
Sparta,La Crosse,43.9441,-90.8129
Sparta,La Crosse,43.9441,-90.8129
Sparta,La Crosse,43.9441,-90.8129
Sparta,La Crosse,43.9441,-90.8129
Belmont,Lafayette,42.7361,-90.3343
Belmont,Lafayette,42.7361,-90.3343
Belmont,Lafayette,42.7361,-90.3343
Belmont,Lafayette,42.7361,-90.3343
Belmont,Lafayette,42.7361,-90.3343
Belmont,Lafayette,42.7361,-90.3343
Appleton,Langlade,44.2619,-88.4154
