Location,subregion,Latitude,Longitude
Deforest,Adams,44.2619,-88.4154
Wausau,Adams,44.2619,-88.4154
Wausau,Adams,44.2619,-88.4154
Eau Claire,Barron,44.2619,-88.4154
Fond Dulac,Breenlake,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Appleton,Brown,44.2619,-88.4154
Belmont,Brown,44.2619,-88.4154
Wausau,Brown,44.2619,-88.4154
Appleton,Brown ,44.2619,-88.4154
Appleton,Brown ,44.2619,-88.4154
Appleton,Brwon,44.2619,-88.4154
Sparta,Buffalo,44.2619,-88.4154
Eau Claire,Buffalo,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Appleton,Calumet,44.2619,-88.4154
Belmont,Calumet,44.2619,-88.4154
Fond Dulac,Calumet,44.2619,-88.4154
Fond Dulac,Calumet,44.2619,-88.4154
Eau Claire,Chippewa,44.2619,-88.4154
Eau Claire,Chippewa,44.2619,-88.4154
Eau Claire,Chippewa,44.2619,-88.4154
Eau Claire,Chippewa,44.2619,-88.4154
Eau Claire,CHippewa,44.2619,-88.4154
Eau Claire,CHippewa,44.2619,-88.4154
Eau Claire,Chippewa,44.2619,-88.4154
Eau Claire,Clark,44.2619,-88.4154
Eau Claire,Clark,44.2619,-88.4154
Eau Claire,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Wausau,Clark,44.2619,-88.4154
Appleton,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Deforest,Columbia,44.2619,-88.4154
Janesville,Columbia,44.2619,-88.4154
Deforest,Columbia ,44.2619,-88.4154
Sparta,Crawford,44.2619,-88.4154
Sparta,Crawford,44.2619,-88.4154
Belmont,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,44.2619,-88.4154
Deforest,Dane,42.7361,-90.3343
Deforest,Dane,42.7361,-90.3343
Janesville,Dane,42.7361,-90.3343
Janesville,Dane,42.7361,-90.3343
Janesville,Dane,42.7361,-90.3343
Janesville,Dane,42.7361,-90.3343
Belmont,Dane ,42.7361,-90.3343
Eau Claire,Dann,42.7361,-90.3343
Deforest,Dann,42.7361,-90.3343
Appleton,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Deforest,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Fond Dulac,Dodge,42.7361,-90.3343
Janesville,Dodge,42.7361,-90.3343
Appleton,Door,42.7361,-90.3343
Appleton,Door,42.7361,-90.3343
Appleton,Door,42.7361,-90.3343
Appleton,Door,42.7361,-90.3343
Eau Claire,Dunn,42.7361,-90.3343
Eau Claire,Dunn ,42.7361,-90.3343
Eau Claire,Dunn ,42.7361,-90.3343
Eau Claire,Dunn ,42.7361,-90.3343
Eau Claire,Dunn,42.7361,-90.3343
Eau Claire,Pepin,42.7361,-90.3343
Eau Claire,Dunn,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Eau Claire,Eau Claire,42.7361,-90.3343
Appleton,Fond Du lac,42.7361,-90.3343
Deforest,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Fond Dulac,Fond Du lac,42.7361,-90.3343
Appleton,Fond Du lac,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,42.7361,-90.3343
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Deforest,Grant,43.2478,-89.3437
Belmont,Grant,43.2478,-89.3437
Belmont,Green,43.2478,-89.3437
Belmont,Green,43.2478,-89.3437
Deforest,Green,43.2478,-89.3437
Deforest,Green,43.2478,-89.3437
Deforest,Green,43.2478,-89.3437
Deforest,Green,43.2478,-89.3437
Deforest,Green,43.2478,-89.3437
Janesville,Green,43.2478,-89.3437
Janesville,Green,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Belmont,Iowa,43.2478,-89.3437
Deforest,Iowa,43.2478,-89.3437
Janesville,Iowa,43.2478,-89.3437
Eau Claire,Jackson,43.2478,-89.3437
Sparta,Jackson,43.2478,-89.3437
Sparta,Jackson,43.2478,-89.3437
Deforest,Jefferson,43.2478,-89.3437
Deforest,Jefferson,43.2478,-89.3437
Janesville,Jefferson,43.2478,-89.3437
Janesville,Jefferson,43.2478,-89.3437
