Location,year,Date and time,spd,dir,windrad
Wisconsin,2018,11:00,1.3645,150.5166,2.627011375
Wisconsin,2018,11:15,1.35475,157,2.7401681
Wisconsin,2018,11:30,1.348,175.275,3.059127158
Wisconsin,2018,11:45,1.45275,151.075,2.636757298
Wisconsin,2018,12:00,1.30425,131.9,2.30209027
Wisconsin,2018,12:15,1.4085,142.55,2.487967915
Wisconsin,2018,12:30,1.54025,168.175,2.935208728
Wisconsin,2018,12:45,1.10475,157.75,2.753258075
Wisconsin,2018,13:00,1.26975,145.275,2.535528158
Wisconsin,2018,13:15,1.123,150.4,2.62497632
Wisconsin,2018,13:30,1.3695,133.1,2.32303423
Wisconsin,2018,13:45,1.452,130.525,2.278091983
Wisconsin,2018,14:00,1.585,129.225,2.255402693
Wisconsin,2018,14:15,1.26925,132.75,2.316925575
Wisconsin,2018,14:30,1.2685,147.575,2.575670748
Wisconsin,2018,14:45,1.63475,141.025,2.461351633
Wisconsin,2018,15:00,1.6045,131.575,2.296417948
Wisconsin,2018,15:15,1.7445,126.3,2.20435179
Wisconsin,2018,15:30,1.71475,135.825,2.370594473
Wisconsin,2018,15:45,1.371,131.475,2.294672618
Wisconsin,2018,16:00,1.72,127.45,2.224423085
Wisconsin,2018,16:15,1.515,130.575,2.278964648
Wisconsin,2018,16:30,1.33775,126.85,2.213951105
Wisconsin,2018,16:45,1.411,130.85,2.283764305
Wisconsin,2018,17:00,1.133,129.775,2.265002008
Wisconsin,2018,17:15,1.60775,137.45,2.398956085
Wisconsin,2018,17:30,1.544,131.05,2.287254965
Wisconsin,2018,17:45,1.5265,125.25,2.186025825
Wisconsin,2018,18:00,1.778,121.25,2.116212625
Wisconsin,2018,18:15,1.7175,124.3,2.16944519
Wisconsin,2018,18:30,2.00775,126.35,2.205224455
Wisconsin,2018,18:45,1.83825,125.3,2.18689849
Wisconsin,2018,19:00,1.701,127.75,2.229659075
Wisconsin,2018,19:15,1.75375,124.6,2.17468118
Wisconsin,2018,19:30,1.57,128.5,2.24274905
Wisconsin,2018,19:45,1.38375,126.1,2.20086113
Wisconsin,2018,20:00,1.3875,126.85,2.213951105
Wisconsin,2018,20:15,1.421,126.225,2.203042793
Wisconsin,2018,20:30,1.333,119.9,2.09265067
Wisconsin,2018,20:45,1.4175,118.6,2.06996138
Wisconsin,2018,21:00,1.366,118.3,2.06472539
Wisconsin,2018,21:15,1.32875,120,2.094396
Wisconsin,2018,21:30,0.83975,117.2,2.04552676
Wisconsin,2018,21:45,1.0565,120.75,2.107485975
Wisconsin,2018,22:00,0.8365,133.325,2.326961223
Wisconsin,2018,22:15,0.827,131.275,2.291181958
Wisconsin,2018,22:30,1.06625,123.8,2.16071854
Wisconsin,2018,22:45,1.0105,128.3,2.23925839
Wisconsin,2018,23:00,0.9845,138.375,2.415100388
Wisconsin,2018,23:15,0.73125,145.75,2.543818475
Wisconsin,2018,23:30,0.71125,145.1,2.53247383
Wisconsin,2018,23:45,0.9125,147.2,2.56912576
Wisconsin,2018,0:00,1.07325,134.2,2.34223286
Wisconsin,2018,0:15,1.084,126.7,2.21133311
Wisconsin,2018,0:30,0.791,140.275,2.448261658
Wisconsin,2018,0:45,0.9,138.3,2.41379139
Wisconsin,2018,1:00,0.859,136.35,2.379757455
Wisconsin,2018,1:15,0.88175,139.225,2.429935693
Wisconsin,2018,1:30,1.0145,141.225,2.464842293
Wisconsin,2018,1:45,0.883,139.95,2.442589335
Wisconsin,2018,2:00,1.15575,135.6,2.36666748
Wisconsin,2018,2:15,0.911,128,2.2340224
Wisconsin,2018,2:30,1.034,146.3,2.55341779
Wisconsin,2018,2:45,0.93625,154.9,2.70351617
Wisconsin,2018,3:00,2.50375,163.35,2.850996555
Wisconsin,2018,3:15,1.56275,172.6,3.01243958
Wisconsin,2018,3:30,1.7125,174.225,3.040801193
Wisconsin,2018,3:45,1.679,165.275,2.884594158
Wisconsin,2018,4:00,1.21425,147.7,2.57785241
Wisconsin,2018,4:15,1.249,145.6,2.54120048
Wisconsin,2018,4:30,1.1055,145.375,2.537273488
Wisconsin,2018,4:45,0.87075,140.35,2.449570655
Wisconsin,2018,5:00,1.279,128.15,2.236640395
Wisconsin,2018,5:15,1.0515,112.15,1.957387595
Wisconsin,2018,5:30,0.966,115.5,2.01585615
Wisconsin,2018,5:45,0.76125,131.9,2.30209027
Wisconsin,2018,6:00,1.20775,159.6,2.78554668
Wisconsin,2018,6:15,1.58,184.35,3.217515855
Wisconsin,2018,6:30,1.52675,182.175,3.179554928
Wisconsin,2018,6:45,1.5085,176.7,3.08399811
Wisconsin,2018,7:00,1.60725,175.9,3.07003547
Wisconsin,2018,7:15,1.83625,177.175,3.092288428
Wisconsin,2018,7:30,2.29925,179.1,3.12588603
Wisconsin,2018,7:45,2.17525,181.25,3.163410625
Wisconsin,2018,8:00,2.2705,178,3.1066874
